Candidate_ID,Gender,Age,Location,Highest_Degree,Specialization,CGPA,Experience_Years,Current_Role,Preferred_Job_Title,Industry,Company_Name,Current_Salary_CNY_K,Expected_Salary_CNY_K,Preferred_Work_Mode,Career_Level,Technical_Skills,Certifications,Communication_Score,Leadership_Score,Problem_Solving_Score,Resume_Score,Job_Applications_Count,Interview_Attempts,Recruiter_Rating,Target_Category
CHN_CND_00014,Male,37,Beijing,PhD,Human Resources,7.6,20.0,Project Manager,System Analyst,Healthcare,Alibaba,21.87,36.57,Onsite,Entry,"Power BI, PyTorch, Deep Learning, Cloud Computing, Cyber Security, Python, Tableau, Docker","Alibaba Cloud Certification, Cisco, Tencent Cloud",51.65,67.25,81.72,84.04,44,9,4.94,Highly Suitable
CHN_CND_00015,Male,43,Tianjin,Bachelor,Finance,8.84,13.4,Full Stack Developer,System Analyst,Manufacturing,JD.com,47.6,52.69,Remote,Senior,"NodeJS, SQL, Communication, Kubernetes",TensorFlow Developer,68.39,81.62,81.68,76.79,48,0,1.6,Less Suitable
CHN_CND_00016,Female,26,Tianjin,PhD,Data Science,6.86,13.9,AI Engineer,System Analyst,Education,Lenovo,52.63,58.87,Hybrid,Entry,"Communication, Leadership, Kubernetes, PyTorch, Cloud Computing, NodeJS","Huawei HCIA, Alibaba Cloud Certification",85.56,90.48,67.43,54.81,41,0,2.59,Moderately Suitable
CHN_CND_00017,Male,27,Xi'an,MBA,Data Science,6.44,18.7,Software Developer,HR Specialist,Finance,Tencent,15.15,21.58,Onsite,Senior,"Communication, Docker, Cloud Computing, Machine Learning","Oracle, Scrum Master",96.23,93.87,62.9,83.0,26,8,3.07,Highly Suitable
CHN_CND_00018,Male,37,Shanghai,Associate Degree,Finance,9.51,4.8,HR Manager,AI Engineer,Information Technology,ByteDance,12.84,26.5,Remote,Senior,"Cloud Computing, Deep Learning, Alibaba Cloud, ReactJS, Leadership, Power BI","Oracle, PMP",81.66,66.95,67.46,86.3,3,3,4.55,Moderately Suitable
CHN_CND_00019,Male,44,Chengdu,PhD,Marketing,9.06,17.8,Software Developer,Security Engineer,Healthcare,Alibaba,52.25,66.41,Hybrid,Mid,"NLP, Cyber Security, Data Analysis, Python, TensorFlow",Tencent Cloud,83.45,79.03,68.61,97.01,25,1,1.64,Highly Suitable
CHN_CND_00020,Male,38,Wuhan,Bachelor,Software Engineering,6.69,9.7,Business Analyst,Security Engineer,Education,JD.com,31.32,46.25,Remote,Senior,"Deep Learning, Communication, TensorFlow, Docker, Data Analysis, Cloud Computing","Tencent Cloud, Huawei HCIA, PMP",50.9,74.69,58.94,68.32,8,6,3.88,Highly Suitable
CHN_CND_00021,Male,21,Guangzhou,Diploma,Business Analytics,6.98,10.9,HR Manager,Data Scientist,Retail,ByteDance,34.46,44.73,Onsite,Senior,"Java, Power BI, Communication, Deep Learning, NLP, Machine Learning, PyTorch",TensorFlow Developer,79.49,98.94,74.34,95.3,27,1,2.4,Moderately Suitable
CHN_CND_00022,Female,21,Chengdu,Diploma,IoT Engineering,8.82,11.5,Project Manager,Data Scientist,Telecommunications,Meituan,33.61,38.15,Remote,Mid,"Alibaba Cloud, Python, TensorFlow, Leadership, Machine Learning, Cloud Computing, PyTorch, ReactJS",PMP,64.04,51.22,82.27,58.86,28,4,4.53,Highly Suitable
CHN_CND_00023,Male,29,Hangzhou,PhD,Cloud Computing,8.23,19.1,Cyber Security Analyst,DevOps Engineer,Telecommunications,JD.com,25.2,34.39,Onsite,Entry,"Python, Tableau, Cyber Security, Deep Learning, Docker, ReactJS, Java","Cisco, Oracle, Tencent Cloud",99.02,53.77,65.28,59.55,33,2,1.68,Highly Suitable
CHN_CND_00024,Female,30,Nanjing,Diploma,Human Resources,6.38,18.7,Cloud Engineer,System Analyst,E-Commerce,Baidu,44.19,53.6,Onsite,Entry,"Kubernetes, Machine Learning, Cloud Computing, NodeJS, Python, PyTorch, NLP",PMP,80.75,99.5,57.0,75.92,2,9,3.96,Moderately Suitable
CHN_CND_00025,Male,21,Guangzhou,Diploma,IoT Engineering,7.16,2.7,AI Engineer,Business Consultant,Telecommunications,Meituan,44.86,54.05,Remote,Senior,"NodeJS, Alibaba Cloud, SQL, Communication, Cloud Computing, TensorFlow, Kubernetes, NLP",Alibaba Cloud Certification,70.99,62.81,80.58,54.08,7,8,3.51,Less Suitable
CHN_CND_00026,Male,40,Shenzhen,Associate Degree,Marketing,9.47,13.0,AI Researcher,AI Engineer,Education,Tencent,44.5,56.85,Hybrid,Entry,"Power BI, Kubernetes, Communication, PyTorch, Python, NLP, ReactJS",PMP,66.9,68.78,54.7,78.91,22,2,2.86,Moderately Suitable
CHN_CND_00027,Female,42,Hangzhou,Master,Cloud Computing,9.21,11.8,Project Manager,Business Consultant,Education,JD.com,9.59,12.08,Hybrid,Entry,"Cyber Security, Alibaba Cloud, NLP, Tableau, Data Analysis, Power BI, Leadership, Communication",Scrum Master,68.01,56.35,76.11,88.5,44,4,2.83,Less Suitable
CHN_CND_00028,Female,26,Shenzhen,Associate Degree,Cyber Security,8.49,1.0,AI Engineer,Security Engineer,Telecommunications,ByteDance,35.63,44.66,Onsite,Mid,"Communication, Leadership, Alibaba Cloud, Cyber Security, SQL, Power BI",TensorFlow Developer,86.3,98.79,75.82,66.15,17,7,2.08,Moderately Suitable
CHN_CND_00029,Female,43,Hangzhou,Diploma,Finance,7.67,5.0,Project Manager,System Analyst,Education,NetEase,17.59,20.64,Remote,Mid,"Deep Learning, Data Analysis, Kubernetes, Python","PMP, TensorFlow Developer, Alibaba Cloud Certification",84.42,52.91,95.76,72.12,32,5,3.86,Moderately Suitable
CHN_CND_00030,Female,28,Tianjin,PhD,Artificial Intelligence,8.56,18.7,AI Engineer,Security Engineer,Healthcare,NetEase,41.19,49.91,Remote,Entry,"Python, Kubernetes, Alibaba Cloud, ReactJS, Machine Learning, Data Analysis, Communication",Alibaba Cloud Certification,71.78,86.5,52.39,78.3,37,5,1.06,Moderately Suitable
CHN_CND_00031,Male,34,Nanjing,Bachelor,Marketing,9.82,1.8,Data Analyst,DevOps Engineer,Education,Tencent,12.9,18.95,Onsite,Entry,"Alibaba Cloud, Deep Learning, NLP, NodeJS, Tableau, Kubernetes, ReactJS","PMP, Tencent Cloud",58.77,50.86,88.17,90.35,36,0,2.86,Highly Suitable
CHN_CND_00032,Male,25,Nanjing,Associate Degree,Cloud Computing,6.18,8.0,Business Analyst,Backend Developer,Finance,Baidu,40.02,50.28,Hybrid,Entry,"Deep Learning, Python, PyTorch, Communication, Cyber Security","Huawei HCIA, Oracle",68.73,81.29,75.16,92.82,5,3,3.46,Less Suitable
CHN_CND_00033,Male,36,Shanghai,Associate Degree,Cloud Computing,9.67,12.8,Full Stack Developer,Data Scientist,Information Technology,ByteDance,9.38,19.0,Onsite,Mid,"Cloud Computing, ReactJS, Kubernetes, Cyber Security","TensorFlow Developer, Alibaba Cloud Certification, Oracle",78.77,69.41,82.16,72.91,43,4,3.5,Less Suitable
CHN_CND_00034,Female,21,Nanjing,Associate Degree,Software Engineering,6.27,19.2,Cyber Security Analyst,Backend Developer,Retail,Meituan,55.08,59.63,Onsite,Mid,"SQL, Tableau, Alibaba Cloud, Python, Data Analysis, Power BI","Huawei HCIA, TensorFlow Developer",55.04,50.91,54.72,84.15,17,9,2.28,Moderately Suitable
CHN_CND_00035,Female,30,Chengdu,Bachelor,Human Resources,6.46,0.5,Business Analyst,Backend Developer,E-Commerce,Huawei,50.35,56.01,Hybrid,Mid,"ReactJS, Leadership, Alibaba Cloud, Communication, SQL, PyTorch, Tableau",Scrum Master,84.84,81.45,93.87,86.75,21,8,3.19,Moderately Suitable
CHN_CND_00036,Female,25,Xi'an,Master,Human Resources,7.61,15.0,AI Researcher,Business Consultant,Information Technology,Tencent,49.96,64.84,Hybrid,Entry,"NodeJS, Leadership, Cyber Security, Python, Deep Learning, Java",PMP,68.6,88.82,67.04,96.54,37,0,3.72,Moderately Suitable
CHN_CND_00037,Female,43,Hangzhou,MBA,Cloud Computing,7.97,15.1,Cloud Engineer,Data Scientist,Education,ByteDance,13.36,27.09,Remote,Senior,"Cloud Computing, ReactJS, Docker, Power BI, Cyber Security","Cisco, Tencent Cloud",91.32,66.0,94.78,69.46,12,8,4.39,Less Suitable
CHN_CND_00038,Female,29,Guangzhou,MBA,Software Engineering,8.24,6.4,HR Manager,AI Engineer,Healthcare,JD.com,57.4,71.76,Remote,Entry,"Deep Learning, NodeJS, Power BI, Leadership, Cloud Computing",TensorFlow Developer,81.59,72.42,64.66,66.43,21,3,4.78,Less Suitable
CHN_CND_00039,Male,36,Beijing,MBA,Human Resources,6.22,15.8,AI Engineer,Data Scientist,Telecommunications,NetEase,12.74,21.17,Remote,Senior,"PyTorch, Power BI, TensorFlow, Python, Cloud Computing, Communication","Scrum Master, Tencent Cloud",77.48,72.08,94.39,67.55,18,8,4.05,Less Suitable
CHN_CND_00040,Female,32,Tianjin,PhD,IoT Engineering,6.87,17.3,Cloud Engineer,System Analyst,Telecommunications,NetEase,51.6,59.14,Hybrid,Mid,"PyTorch, NodeJS, Cloud Computing, SQL",Huawei HCIA,69.83,94.59,57.33,75.67,38,2,3.33,Less Suitable
CHN_CND_00041,Male,33,Shenzhen,PhD,Data Science,9.85,7.4,Software Developer,AI Engineer,Telecommunications,NetEase,50.27,64.58,Onsite,Senior,"Cloud Computing, ReactJS, Java, TensorFlow, Deep Learning, Alibaba Cloud, Tableau","Huawei HCIA, Scrum Master",87.67,68.81,54.18,88.86,39,9,4.63,Moderately Suitable
CHN_CND_00042,Male,27,Wuhan,Bachelor,Marketing,8.23,8.7,Cloud Engineer,Backend Developer,Retail,Baidu,21.19,28.46,Remote,Entry,"Java, Communication, Cloud Computing, Cyber Security, NLP, NodeJS","TensorFlow Developer, Tencent Cloud, Cisco",87.05,88.36,91.14,87.21,3,8,2.5,Highly Suitable
CHN_CND_00043,Female,37,Xi'an,PhD,Human Resources,9.13,1.7,AI Researcher,Data Scientist,Information Technology,Xiaomi,35.48,43.15,Onsite,Mid,"NodeJS, ReactJS, Cloud Computing, NLP, TensorFlow, Communication","Oracle, Cisco, TensorFlow Developer",98.9,77.8,66.13,52.17,21,4,2.01,Less Suitable
CHN_CND_00044,Female,39,Xi'an,Associate Degree,Human Resources,8.71,19.4,HR Manager,Backend Developer,Telecommunications,NetEase,35.2,45.38,Remote,Mid,"Python, SQL, Communication, NodeJS, Leadership, Cloud Computing",Tencent Cloud,72.73,81.38,79.22,95.06,11,9,4.8,Moderately Suitable
CHN_CND_00045,Female,28,Xi'an,Bachelor,Human Resources,6.66,7.9,AI Engineer,DevOps Engineer,Retail,ByteDance,13.55,19.91,Remote,Mid,"Alibaba Cloud, NodeJS, TensorFlow, Machine Learning, ReactJS, Deep Learning, Docker","Oracle, Cisco",82.34,69.41,61.47,63.3,37,8,2.04,Less Suitable
CHN_CND_00046,Female,42,Nanjing,Bachelor,Cyber Security,8.35,0.6,HR Manager,System Analyst,Healthcare,JD.com,22.55,29.9,Hybrid,Senior,"Cyber Security, NLP, Data Analysis, Java",Cisco,63.55,56.66,53.81,97.03,5,8,2.67,Moderately Suitable
CHN_CND_00047,Male,44,Guangzhou,Bachelor,Human Resources,7.6,17.5,AI Engineer,Backend Developer,E-Commerce,JD.com,36.68,40.82,Onsite,Senior,"Python, Communication, Machine Learning, Cloud Computing","Alibaba Cloud Certification, Oracle, TensorFlow Developer",88.88,74.02,99.26,68.84,26,8,4.88,Moderately Suitable
CHN_CND_00048,Female,37,Wuhan,MBA,Marketing,7.07,16.8,HR Manager,AI Engineer,Retail,JD.com,32.37,39.76,Onsite,Senior,"Power BI, NodeJS, Communication, NLP, PyTorch, Deep Learning, TensorFlow","Tencent Cloud, PMP, Alibaba Cloud Certification",52.82,93.24,90.65,99.99,38,2,3.22,Less Suitable
CHN_CND_00049,Male,25,Guangzhou,PhD,Finance,6.94,14.5,Cloud Engineer,Security Engineer,Information Technology,ByteDance,47.37,54.28,Onsite,Mid,"PyTorch, NLP, Cyber Security, Power BI, Docker, Machine Learning, Leadership","PMP, TensorFlow Developer, Tencent Cloud",60.25,62.57,63.74,60.36,1,0,4.03,Less Suitable
CHN_CND_00050,Female,22,Shanghai,PhD,Human Resources,8.03,7.2,Data Analyst,Backend Developer,Telecommunications,Baidu,13.9,24.63,Remote,Mid,"Kubernetes, PyTorch, Power BI, Java, ReactJS, Leadership, Cloud Computing","Huawei HCIA, PMP",88.62,76.01,92.61,77.6,5,8,3.36,Moderately Suitable
CHN_CND_00051,Male,35,Tianjin,Bachelor,Cyber Security,9.14,8.4,HR Manager,Frontend Developer,Finance,Xiaomi,48.8,59.11,Remote,Senior,"NodeJS, Kubernetes, SQL, Alibaba Cloud, ReactJS, Machine Learning","Scrum Master, PMP, Oracle",95.16,80.86,99.02,80.4,18,2,4.62,Less Suitable
CHN_CND_00052,Male,40,Hangzhou,MBA,Business Analytics,7.16,10.9,Cyber Security Analyst,Backend Developer,Education,Lenovo,31.45,45.29,Hybrid,Senior,"NLP, Machine Learning, Cloud Computing, Python",Cisco,76.18,84.88,89.82,72.97,17,9,4.08,Less Suitable
CHN_CND_00053,Female,40,Hangzhou,Diploma,Cloud Computing,7.28,9.2,Data Analyst,Business Consultant,Retail,Lenovo,58.96,67.36,Remote,Entry,"Machine Learning, NodeJS, SQL, Kubernetes, Communication","Tencent Cloud, Huawei HCIA",81.67,62.01,53.79,56.44,16,5,3.79,Moderately Suitable
CHN_CND_00054,Female,24,Shanghai,Master,Finance,7.85,3.6,Full Stack Developer,DevOps Engineer,Retail,JD.com,25.97,39.63,Remote,Senior,"ReactJS, Cloud Computing, Data Analysis, Leadership, NLP, Cyber Security","TensorFlow Developer, Scrum Master",83.38,58.62,59.61,52.04,5,1,2.11,Moderately Suitable
CHN_CND_00055,Male,42,Guangzhou,PhD,Cloud Computing,6.8,1.8,Software Developer,Data Scientist,Information Technology,JD.com,14.27,22.26,Hybrid,Entry,"Python, ReactJS, Java, Power BI, Cloud Computing, Kubernetes",Cisco,68.21,75.17,84.52,51.97,47,8,3.75,Less Suitable
CHN_CND_00056,Female,44,Xi'an,PhD,Cloud Computing,7.08,17.5,Software Developer,HR Specialist,E-Commerce,JD.com,55.89,58.68,Onsite,Mid,"PyTorch, SQL, Cloud Computing, Alibaba Cloud, Data Analysis, ReactJS",Tencent Cloud,90.31,87.41,59.23,60.47,22,9,4.04,Highly Suitable
CHN_CND_00057,Male,34,Nanjing,MBA,Cloud Computing,6.98,9.3,Full Stack Developer,Security Engineer,Manufacturing,Tencent,46.87,49.35,Onsite,Entry,"SQL, PyTorch, Communication, Kubernetes, Docker, Java, Tableau","Alibaba Cloud Certification, Tencent Cloud",85.67,94.76,75.58,76.61,45,1,2.79,Moderately Suitable
CHN_CND_00058,Female,23,Wuhan,Bachelor,Software Engineering,6.71,7.9,Data Analyst,AI Engineer,Retail,NetEase,13.45,25.04,Remote,Entry,"NodeJS, Cyber Security, Alibaba Cloud, Communication","Huawei HCIA, Cisco, TensorFlow Developer",78.2,92.04,54.46,76.77,25,0,2.37,Highly Suitable
CHN_CND_00059,Male,24,Nanjing,PhD,Finance,8.28,7.1,HR Manager,AI Engineer,Manufacturing,Huawei,41.74,49.97,Hybrid,Mid,"PyTorch, Kubernetes, NLP, Docker, Data Analysis, Cloud Computing, Tableau, Power BI",PMP,86.84,77.89,79.33,78.22,42,8,2.35,Highly Suitable
CHN_CND_00060,Female,40,Shanghai,Associate Degree,Cyber Security,9.85,12.9,Full Stack Developer,AI Engineer,Information Technology,ByteDance,37.68,44.31,Remote,Entry,"TensorFlow, Docker, Cyber Security, ReactJS, Java, Deep Learning","TensorFlow Developer, Alibaba Cloud Certification",80.29,61.86,55.09,57.64,48,3,4.4,Less Suitable
CHN_CND_00061,Male,44,Hangzhou,Master,Software Engineering,7.6,17.9,Project Manager,HR Specialist,Healthcare,Tencent,12.17,20.99,Onsite,Entry,"SQL, Cyber Security, Deep Learning, ReactJS, Communication","Tencent Cloud, PMP",99.12,55.6,69.89,98.47,4,5,4.9,Highly Suitable
CHN_CND_00062,Male,44,Shenzhen,Associate Degree,Finance,8.09,14.5,Project Manager,Data Scientist,Finance,NetEase,50.68,62.02,Hybrid,Mid,"Docker, Communication, Alibaba Cloud, Python",Oracle,73.83,91.93,60.25,98.4,4,2,1.8,Less Suitable
CHN_CND_00063,Male,40,Beijing,Diploma,Finance,7.13,4.8,Cyber Security Analyst,Data Scientist,E-Commerce,NetEase,13.97,23.91,Remote,Entry,"TensorFlow, NLP, Tableau, Communication, Java, Docker, Kubernetes, Alibaba Cloud","Oracle, TensorFlow Developer, Cisco",79.06,57.72,74.06,76.63,33,5,2.35,Moderately Suitable
CHN_CND_00064,Female,30,Shanghai,Associate Degree,Data Science,8.67,11.0,Project Manager,Frontend Developer,Telecommunications,NetEase,36.54,41.16,Remote,Mid,"PyTorch, SQL, NodeJS, Leadership, Alibaba Cloud, Deep Learning, Cloud Computing, Tableau","Scrum Master, Oracle",54.39,56.94,50.14,55.83,15,7,3.42,Moderately Suitable
CHN_CND_00065,Female,23,Shanghai,Bachelor,Data Science,9.76,7.0,AI Engineer,Security Engineer,Finance,ByteDance,56.34,69.14,Remote,Senior,"Kubernetes, Data Analysis, TensorFlow, Alibaba Cloud, ReactJS, Machine Learning, Tableau","Cisco, Huawei HCIA",56.21,86.54,96.92,59.06,35,0,3.96,Highly Suitable
CHN_CND_00066,Female,42,Chengdu,Bachelor,IoT Engineering,8.93,1.0,Project Manager,Frontend Developer,Healthcare,NetEase,48.64,61.4,Remote,Entry,"Cyber Security, NodeJS, Alibaba Cloud, TensorFlow, Data Analysis, Machine Learning, Power BI, ReactJS","Alibaba Cloud Certification, Tencent Cloud",89.98,91.26,59.32,61.78,14,9,4.63,Moderately Suitable
CHN_CND_00067,Female,33,Beijing,Master,Cloud Computing,8.78,11.8,HR Manager,DevOps Engineer,Manufacturing,Alibaba,43.52,51.4,Remote,Entry,"Docker, TensorFlow, Leadership, Communication, Data Analysis, Power BI, Cyber Security, Kubernetes","Alibaba Cloud Certification, Oracle, Cisco",94.98,81.21,76.99,71.94,33,8,2.42,Less Suitable
CHN_CND_00068,Female,35,Hangzhou,Associate Degree,Business Analytics,8.43,7.7,Full Stack Developer,Data Scientist,Information Technology,Baidu,36.26,50.04,Remote,Senior,"SQL, PyTorch, Python, NodeJS, Deep Learning, Power BI, NLP","Cisco, Huawei HCIA",55.84,96.99,81.39,66.75,15,0,3.13,Highly Suitable
CHN_CND_00069,Male,27,Xi'an,Bachelor,Business Analytics,8.76,11.5,Cyber Security Analyst,Data Scientist,Retail,Meituan,59.88,71.66,Hybrid,Senior,"Leadership, NLP, Data Analysis, Power BI","Scrum Master, TensorFlow Developer, Tencent Cloud",88.93,57.16,60.23,85.7,5,9,2.37,Less Suitable
CHN_CND_00070,Male,26,Hangzhou,MBA,Business Analytics,8.36,10.7,AI Engineer,AI Engineer,E-Commerce,Xiaomi,27.7,35.64,Remote,Entry,"Java, Communication, Kubernetes, NodeJS, Python, TensorFlow","TensorFlow Developer, PMP",75.11,76.99,74.32,70.45,45,1,1.05,Moderately Suitable
CHN_CND_00071,Male,39,Nanjing,Bachelor,Business Analytics,7.35,13.9,Full Stack Developer,Security Engineer,Telecommunications,Xiaomi,36.22,41.49,Hybrid,Entry,"Communication, Tableau, Cyber Security, Docker, SQL, Deep Learning, Data Analysis, ReactJS",PMP,59.08,95.42,79.17,70.04,47,9,4.79,Moderately Suitable
CHN_CND_00072,Male,32,Guangzhou,Diploma,IoT Engineering,7.0,18.2,Cyber Security Analyst,System Analyst,Finance,Xiaomi,15.23,18.54,Hybrid,Senior,"Alibaba Cloud, Machine Learning, NLP, Docker",PMP,86.3,79.65,55.11,95.94,5,7,1.09,Moderately Suitable
CHN_CND_00073,Female,30,Shenzhen,Master,Data Science,6.3,15.4,Software Developer,HR Specialist,Education,Baidu,27.47,30.37,Onsite,Entry,"Alibaba Cloud, Machine Learning, SQL, Tableau, TensorFlow","TensorFlow Developer, PMP, Tencent Cloud",55.21,92.02,95.53,56.14,37,4,1.66,Less Suitable
CHN_CND_00074,Female,24,Shenzhen,Diploma,Data Science,8.02,2.5,AI Researcher,Business Consultant,Retail,JD.com,55.88,69.19,Onsite,Entry,"Machine Learning, Power BI, NLP, Cyber Security","Cisco, PMP, Scrum Master",79.56,69.95,52.74,66.76,26,8,1.46,Moderately Suitable
CHN_CND_00075,Female,40,Nanjing,PhD,Marketing,7.35,10.7,Data Analyst,Business Consultant,Education,ByteDance,55.83,62.33,Onsite,Mid,"SQL, Cloud Computing, NLP, Cyber Security, Java, Python, Machine Learning, PyTorch",Huawei HCIA,86.88,72.61,61.23,72.62,24,8,2.99,Less Suitable
CHN_CND_00076,Female,26,Nanjing,PhD,Marketing,7.08,0.7,Full Stack Developer,Backend Developer,Manufacturing,ByteDance,24.2,36.35,Hybrid,Mid,"Java, NLP, TensorFlow, Alibaba Cloud, SQL","Tencent Cloud, Alibaba Cloud Certification, Huawei HCIA",61.0,60.63,75.76,98.78,41,0,3.23,Moderately Suitable
CHN_CND_00077,Male,42,Chengdu,Bachelor,IoT Engineering,8.32,1.7,Software Developer,DevOps Engineer,Retail,Xiaomi,59.84,68.37,Remote,Senior,"NodeJS, Java, Alibaba Cloud, SQL, Cyber Security, ReactJS","PMP, Tencent Cloud, Scrum Master",53.35,87.5,60.5,94.9,32,0,1.15,Less Suitable
CHN_CND_00078,Female,36,Xi'an,MBA,Artificial Intelligence,7.77,11.3,Business Analyst,HR Specialist,Healthcare,Huawei,11.42,23.5,Hybrid,Mid,"Cloud Computing, Cyber Security, Kubernetes, Alibaba Cloud",Huawei HCIA,76.22,72.04,70.04,77.98,4,0,2.34,Highly Suitable
CHN_CND_00079,Male,43,Tianjin,Diploma,Software Engineering,8.51,18.9,Software Developer,Backend Developer,Healthcare,NetEase,27.41,32.93,Remote,Mid,"PyTorch, NodeJS, SQL, Cloud Computing, TensorFlow","Alibaba Cloud Certification, Cisco, Tencent Cloud",70.44,51.27,57.81,85.8,29,7,1.11,Moderately Suitable
CHN_CND_00080,Male,43,Chengdu,Associate Degree,IoT Engineering,8.32,5.1,AI Researcher,Business Consultant,Retail,Xiaomi,18.2,26.77,Onsite,Senior,"NLP, Cloud Computing, NodeJS, Communication, Tableau","Scrum Master, PMP",66.96,78.47,94.37,77.84,8,1,4.22,Moderately Suitable
CHN_CND_00081,Male,44,Hangzhou,Bachelor,Software Engineering,7.55,14.4,HR Manager,Business Consultant,Healthcare,Xiaomi,52.5,65.29,Remote,Entry,"Deep Learning, PyTorch, Leadership, Java, Power BI","Huawei HCIA, Cisco",83.4,60.25,64.66,94.82,7,9,1.34,Moderately Suitable
CHN_CND_00082,Male,43,Beijing,MBA,Data Science,8.51,17.0,Business Analyst,Backend Developer,Healthcare,Alibaba,14.38,27.77,Hybrid,Mid,"Python, Data Analysis, Java, Kubernetes, Docker, TensorFlow","Huawei HCIA, Tencent Cloud",85.2,95.53,81.24,66.79,2,2,3.36,Less Suitable
